id,osm_id,name,number,street,postal_code,city,country,country_code,status,lat,lon,website,phone,fax,year,tags,description,stats_payantes,stats_gratuites
7101402,2380355755.0,Musée Rolin,,Place Saint-Louis,71400,Autun,France,fr,open,46.9456553,4.2993665,,,,2013,label:musee de france,,10763,7463
7137301,7419064525.0,Musée du Terroir,,Rue des Quartiers,71470,Romenay,France,fr,open,46.503251,5.067591,,,,2013,label:musee de france,,3036,1207
8938701,8196077887.0,Musée Muncipal,135,Rue des Déportés et de la Résistance,89100,Sens,France,fr,open,48.1975028,3.284393,,,,2013,label:musee de france,,4063,24297
2205001,95903744.0,Musée du Château de Dinan,,Promenade des Petits Fossés,22100,Dinan,France,fr,open,48.4502876,-2.0449255728476867,,,,2013,label:musee de france,,13773,6574
2209301,123094895.0,Musée Mathurin Meheut,,Rue du Docteur Calmette,22400,Saint-Brieuc,France,fr,open,48.469658,-2.515426805946792,,,,2013,label:musee de france,,4232,1008
2227801,78123314.0,Musée d'Art et d'Histoire,,Cour Francis Renaud,22000,Saint-Brieuc,France,fr,open,48.51234775,-2.7619036982498804,,,,2013,label:musee de france,,0,33854
2901901,730880579.0,Musée des Beaux-Arts de Brest,24,Rue Traverse,29200,Brest,France,fr,open,48.38506775,-4.490176075191855,,,,2013,label:musee de france,,7847,18498
2903801,,Ecomusée des Monts d'Arrée - Moulins de Kerouat,,,,COMMANA,France,fr,open,,,,,,2013,label:musee de france,,7973,3689
2922001,,Musée Bigouden,,,,PONT-L'ABBE,France,fr,open,,,,,,2013,label:musee de france,,11796,4848
2923201,1162498487.0,Musée des Beaux-Arts,,Place Saint-Corentin,29000,Quimper,France,fr,open,47.996236,-4.102342,,,,2013,label:musee de france,,27600,17006
3523801,7422696.0,Musée de Bretagne,,Boulevard Magenta,35000|35700|35200,Rennes,France,fr,open,48.10513205,-1.6741388704016005,,,,2013,label:musee de france,,14381,36150
3528801,3275333600.0,Musée International du Long-Cours Cap-Hornier,,Cale Solidor,35400,Saint-Malo,France,fr,open,48.6340431,-2.0260137,,,,2013,label:musee de france,,7191,4583
3536003,3203173830.0,Musée des Rochers-Sévigné,,Promenade du Val,35500,Vitré,France,fr,open,48.1254552,-1.2110814,,,,2013,label:musee de france,,5914,0
5602301,449218730.0,Ecomusée de Saint-Dégan,,Rue Park Segal,56400,Brech,France,fr,open,47.7090601,-2.9935749,,,,2013,label:musee de france,,7653,2801
5606901,96124965.0,Ecomusée de l'Île de Groix,,Quartier des Iles Bretonnes,22100,Dinan,France,fr,closed,48.4366452,-2.068196590266697,,,,2013,label:musee de france,,0,0
